iter	Logloss
0	0.6756684967
1	0.6598594339
2	0.6432223841
3	0.6261733197
4	0.6074034847
5	0.5897905077
6	0.5779215699
7	0.5635307951
8	0.5481656066
9	0.5344902558
10	0.5226866924
11	0.5100106467
12	0.4983302956
13	0.4868462574
14	0.4773205403
15	0.4673290171
16	0.4570234497
17	0.4484098807
18	0.4360439705
19	0.4278889296
20	0.4202051878
21	0.4108012168
22	0.4029526029
23	0.3938809087
24	0.3850987468
25	0.3792997964
26	0.3726774764
27	0.3669752388
28	0.3613502386
29	0.3554463152
30	0.3496291958
31	0.3434642716
32	0.3383820582
33	0.3327276569
34	0.3280972791
35	0.323114398
36	0.3184923635
37	0.3135627132
38	0.3092201408
39	0.3050235296
40	0.3009508976
41	0.2968811061
42	0.2932204203
43	0.2898709801
44	0.2868192287
45	0.2827125616
46	0.2795380441
47	0.2754103578
48	0.2724726128
49	0.2691267173
50	0.2658832848
51	0.2629333652
52	0.2601769459
53	0.2582585667
54	0.2552877107
55	0.252687626
56	0.2501514133
57	0.2478984358
58	0.2456282856
59	0.2429900527
60	0.2409798946
61	0.2391563254
62	0.2368011559
63	0.2344836954
64	0.2321919775
65	0.2302244678
66	0.2286621135
67	0.2270275228
68	0.2253941212
69	0.2232605608
70	0.2211158121
71	0.219550811
72	0.2182634273
73	0.2170403479
74	0.215703649
75	0.214229348
76	0.2126112341
77	0.2110585695
78	0.2096497316
79	0.2082503725
80	0.207045935
81	0.2057189307
82	0.2044419008
83	0.2032338522
84	0.2022373746
85	0.2013579776
86	0.1999501938
87	0.1990066041
88	0.1980322551
89	0.1968815102
90	0.1955770059
91	0.193644864
92	0.1919030436
93	0.1902496646
94	0.1886322383
95	0.1872026864
96	0.1854867053
97	0.1842192609
98	0.1827969148
99	0.1814123732
100	0.1801906368
101	0.1789033501
102	0.1777843792
103	0.1764428083
104	0.1754449964
105	0.1745401922
106	0.1735609404
107	0.1726138747
108	0.1717209275
109	0.1708153179
110	0.1700891042
111	0.1691672811
112	0.1683731724
113	0.1676252977
114	0.1668732371
115	0.1662033331
116	0.1655163143
